number,portrait,name,date_of_birth,date_of_death,term,party,election,vice_president
30,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/President_Calvin_Coolidge%2C_1924_head-and-shoulders_portrait%2C_facing_slightly_right_%282%29.jpeg/250px-President_Calvin_Coolidge%2C_1924_head-and-shoulders_portrait%2C_facing_slightly_right_%282%29.jpeg,Calvin Coolidge,1872-07-04,1933-01-05,"August 2, 1923 – March 4, 1929",Republican,1924,Charles G. Dawes
31,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Unsuccessful_1932.jpg/250px-Unsuccessful_1932.jpg,Herbert Hoover,1874-08-10,1964-10-20,"March 4, 1929 – March 4, 1933",Republican,1928,Charles Curtis
32,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/FDR-1944-Campaign-Portrait_%28cropped%29.jpg/250px-FDR-1944-Campaign-Portrait_%28cropped%29.jpg,Franklin D. Roosevelt,1882-01-30,1945-04-12,"March 4, 1933 – April 12, 1945",Democratic,1932; 1936; 1940; 1944,John Nance Garner; Henry A. Wallace; Harry S. Truman
33,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/TRUMAN_58-766-06_%28cropped%29.jpg/250px-TRUMAN_58-766-06_%28cropped%29.jpg,Harry S. Truman,1884-05-08,1972-12-26,"April 12, 1945 – January 20, 1953",Democratic,1948,Alben W. Barkley
34,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959_%28cropped%29%283%29.jpg/250px-Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959_%28cropped%29%283%29.jpg,Dwight D. Eisenhower,1890-10-14,1969-03-28,"January 20, 1953 – January 20, 1961",Republican,1952; 1956,Richard Nixon
35,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/John_F._Kennedy%2C_White_House_color_photo_portrait_%283x4%29_%28cropped%29.jpg/250px-John_F._Kennedy%2C_White_House_color_photo_portrait_%283x4%29_%28cropped%29.jpg,John F. Kennedy,1917-05-29,1963-11-22,"January 20, 1961 – November 22, 1963",Democratic,1960,Lyndon B. Johnson
36,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/250px-37_Lyndon_Johnson_3x4.jpg,Lyndon B. Johnson,1908-08-27,1973-01-22,"November 22, 1963 – January 20, 1969",Democratic,1964,Hubert Humphrey
37,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Richard_Nixon_presidential_portrait_%281%29.jpg/250px-Richard_Nixon_presidential_portrait_%281%29.jpg,Richard Nixon,1913-01-09,1994-04-22,"January 20, 1969 – August 9, 1974",Republican,1968; 1972,Spiro Agnew; Gerald Ford
38,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg/250px-Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg,Gerald Ford,1913-07-14,2006-12-26,"August 9, 1974 – January 20, 1977",Republican,,Nelson Rockefeller
39,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jimmy_Carter_presidential_portrait_%28cropped_1%29.jpg/250px-Jimmy_Carter_presidential_portrait_%28cropped_1%29.jpg,Jimmy Carter,1924-10-01,2024-12-29,"January 20, 1977 – January 20, 1981",Democratic,1976,Walter Mondale
40,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Official_Portrait_of_President_Reagan_1981-cropped.jpg/250px-Official_Portrait_of_President_Reagan_1981-cropped.jpg,Ronald Reagan,1911-02-06,2004-06-05,"January 20, 1981 – January 20, 1989",Republican,1980; 1984,George H. W. Bush
41,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/George_H._W._Bush_presidential_portrait_%28cropped_2%29.jpg/250px-George_H._W._Bush_presidential_portrait_%28cropped_2%29.jpg,George H. W. Bush,1924-06-12,2018-11-30,"January 20, 1989 – January 20, 1993",Republican,1988,Dan Quayle
42,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/250px-Bill_Clinton.jpg,Bill Clinton,1946-08-19,,"January 20, 1993 – January 20, 2001",Democratic,1992; 1996,Al Gore
43,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/250px-George-W-Bush.jpeg,George W. Bush,1946-07-06,,"January 20, 2001 – January 20, 2009",Republican,2000; 2004,Dick Cheney
44,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/President_Barack_Obama%2C_2012_portrait_crop.jpg/250px-President_Barack_Obama%2C_2012_portrait_crop.jpg,Barack Obama,1961-08-04,,"January 20, 2009 – January 20, 2017",Democratic,2008; 2012,Joe Biden
45,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Donald_Trump_official_portrait_%283x4a%29.jpg/250px-Donald_Trump_official_portrait_%283x4a%29.jpg,Donald Trump,1946-06-14,,"January 20, 2017 – January 20, 2021",Republican,2016,Mike Pence
46,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Joe_Biden_presidential_portrait_%28cropped%29.jpg/250px-Joe_Biden_presidential_portrait_%28cropped%29.jpg,Joe Biden,1942-11-20,,"January 20, 2021 – January 20, 2025",Democratic,2020,Kamala Harris
47,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29.jpg/250px-Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29.jpg,Donald Trump,1946-06-14,,"January 20, 2025 – Incumbent",Republican,2024,JD Vance
